Titel, Referentiedatasoort[Waarden],
"Referentiedatasoort:AUTHENTIEKGEGEVENSOORT","Klasse,Klasse:VERA-AuthentiekeGegevens/VERA 4.1.4+240311.2,Dossier,
Bericht,Klasse:WRV-Kandidaten/VERA 4.1.4+240311.2,WRV"
"Referentiedatasoort:AUTHENTIEKGEGEVENSTATUS","Klasse,Klasse:VERA-AuthentiekeGegevens/VERA 4.1.4+240311.2,Dossier"
"Referentiedatasoort:BANKAFSCHRIFTREGELSOORT","Klasse,Klasse:VERA-BankafschriftRegels/VERA 4.1.4+240311.2,Financien"
"Referentiedatasoort:BANKAFSCHRIFTSTATUS","Klasse,Klasse:VERA-Bankafschriften/VERA 4.1.4+240311.2,Financien"
"Referentiedatasoort:BEDRIJFSOORT","Klasse,Klasse:VERA-FinancieelBedrijven/VERA 4.1.4+240311.2,Financien"
"Referentiedatasoort:BEGROTINGVERSIE","Klasse,Klasse:VERA-Begrotingen/VERA 4.1.4+240311.2,Financien"
"Referentiedatasoort:BEOORDELINGSSCHAAL","Klasse,Klasse:VERA-Kwaliteitsmetingsresultaten/VERA 4.1.4+240311.2,Kwaliteit,
Bericht,Klasse:KMT-Kwaliteitsmetingsresultaten/VERA 4.1.4+240311.2,KMT"
"Referentiedatasoort:BESTEMMING","Klasse,Klasse:VERA-Eenheden/VERA 4.1.4+240311.2,Vastgoed,
Klasse,Klasse:VERA-Zoekprofiellen/VERA 4.1.4+240311.2,Woonruimteverdeling,
Bericht,Klasse:BVG-Eenheden/VERA 4.1.4+240311.2,BVG
Bericht,Klasse:VHE-Eenheden/VERA 4.1.4+240311.2,VHE
Bericht,Klasse:WRV-Eenheden/VERA 4.1.4+240311.2,WRV
Bericht,Klasse:WRV-Publicaties/VERA 4.1.4+240311.2,WRV"
"Referentiedatasoort:BETAALGEGEVENSOORT","Klasse,Klasse:VERA-Betaalgegevens/VERA 4.1.4+240311.2,Relaties,
Bericht,Klasse:BFG-Boekingen/VERA 4.1.4+240311.2,BFG
Bericht,Klasse:BOG-Betaalwijzen/VERA 4.1.4+240311.2,BOG
Bericht,Klasse:BOG-Overeenkomsten/VERA 4.1.4+240311.2,BOG
Bericht,Klasse:BRG-Betaalgegevens/VERA 4.1.4+240311.2,BRG
Bericht,Klasse:INC-Betalingsregelingen/VERA 4.1.4+240311.2,INC
Bericht,Klasse:OHD-Inkoopfacturen/VERA 4.1.4+240311.2,OHD"
"Referentiedatasoort:BETAALOPDRACHTSTATUS","Klasse,Klasse:VERA-Betaalopdrachten/VERA 4.1.4+240311.2,Financien"
"Referentiedatasoort:BETAALWIJZEDEELSOORT","Klasse,Klasse:VERA-Betaalwijzen/VERA 4.1.4+240311.2,Financien,
Bericht,Klasse:BOG-Betaalwijzen/VERA 4.1.4+240311.2,BOG
Bericht,Klasse:BOG-Overeenkomsten/VERA 4.1.4+240311.2,BOG"
"Referentiedatasoort:BETAALWIJZESOORT","Klasse,Klasse:VERA-Betaalwijzen/VERA 4.1.4+240311.2,Financien,
Bericht,Klasse:BOG-Betaalwijzen/VERA 4.1.4+240311.2,BOG
Bericht,Klasse:BOG-Overeenkomsten/VERA 4.1.4+240311.2,BOG
Bericht,Klasse:INC-Betalingsregelingen/VERA 4.1.4+240311.2,INC"
"Referentiedatasoort:BETALINGSREGELINGEINDEREDEN","Klasse,Klasse:VERA-Betalingsregelingen/VERA 4.1.4+240311.2,Financien,
Bericht,Klasse:INC-Betalingsregelingen/VERA 4.1.4+240311.2,INC"
"Referentiedatasoort:BETALINGSREGELINGSTATUS","Klasse,Klasse:VERA-Betalingsregelingen/VERA 4.1.4+240311.2,Financien,
Bericht,Klasse:INC-Betalingsregelingen/VERA 4.1.4+240311.2,INC"
"Referentiedatasoort:BETALINGSREGELINGTERMIJNSTATUS","Klasse,Klasse:VERA-BetalingsregelingTermijnen/VERA 4.1.4+240311.2,Financien,
Bericht,Klasse:INC-Betalingsregelingen/VERA 4.1.4+240311.2,INC"
"Referentiedatasoort:BEWAKINGSSTATUS","Klasse,Klasse:VERA-Arbeidsovereenkomsten/VERA 4.1.4+240311.2,Overeenkomsten,
Klasse,Klasse:VERA-Huurovereenkomsten/VERA 4.1.4+240311.2,Overeenkomsten,
Klasse,Klasse:VERA-Inschrijvingen/VERA 4.1.4+240311.2,Overeenkomsten,
Klasse,Klasse:VERA-Koopovereenkomsten/VERA 4.1.4+240311.2,Overeenkomsten,
Klasse,Klasse:VERA-Onderhoudsovereenkomsten/VERA 4.1.4+240311.2,Overeenkomsten,
Klasse,Klasse:VERA-Overeenkomsten/VERA 4.1.4+240311.2,Overeenkomsten,
Klasse,Klasse:VERA-Serviceovereenkomsten/VERA 4.1.4+240311.2,Overeenkomsten,
Bericht,Klasse:BOG-Overeenkomsten/VERA 4.1.4+240311.2,BOG"
"Referentiedatasoort:BOEKINGDETAILSOORT","Klasse,Klasse:VERA-Boekingen/VERA 4.1.4+240311.2,Financien,
Bericht,Klasse:BFG-Boekingen/VERA 4.1.4+240311.2,BFG"
"Referentiedatasoort:BOEKINGSOORT","Klasse,Klasse:VERA-Boekingen/VERA 4.1.4+240311.2,Financien,
Bericht,Klasse:BFG-Boekingen/VERA 4.1.4+240311.2,BFG"
"Referentiedatasoort:BOEKINGSTATUS","Klasse,Klasse:VERA-Boekingen/VERA 4.1.4+240311.2,Financien,
Bericht,Klasse:BFG-Boekingen/VERA 4.1.4+240311.2,BFG"
